Date,Close,High,Low,Open,Volume,MA50,MA200,EMA12,EMA26,EMA50,Returns,Log_Return,RSI,MACD,MACD_Signal,MACD_Hist,Volatility,Vol_Ratio,BB_Upper,BB_Lower,BB_Width,BB_Pos,ATR,ATR_Pct,OBV,OBV_MA,Vol_MA20,Vol_Ratio_Vol,High_52w,Low_52w,Pct_From_High,Pct_From_Low,Label,Fwd_Return
2017-03-28,204.05462646484375,204.47951500442747,202.16426146852515,202.27699348014863,93483900,201.4832147216797,189.76668388366699,203.85438113723347,203.4972041668783,201.48781516611876,0.00727694503737597,0.007250595823474781,49.046414133618946,0.3571769703551695,0.8442704484710768,-0.4870934781159073,0.08884214508037096,,207.27861806642656,202.07110422361248,0.02544286002531776,-0.47641519421420025,1.5572461263968722,0.007631515900303136,698913300.0,950786180.0,86452635.0,1.08133083508675,,,,,0,0.0006799560066295118
2017-03-29,204.24534606933594,204.47947665285002,203.542967550248,203.7684315312076,61950400,201.66132507324218,189.90242584228517,203.91452958832616,203.5526220855789,201.5959536329116,0.000934649744513516,0.000934213231411122,48.68826772840312,0.3619075027472718,0.7477978593263158,-0.385890356579044,0.07203204434690773,,206.89786420080418,202.17425799157866,0.023094246481084105,-0.24618057791651934,1.5316345735147914,0.007498993749384339,760863700.0,934793135.0,82092245.0,0.754643754717635,,,,,0,-0.0032262708470252033
2017-03-30,204.89573669433594,205.09518767334725,204.01126673659485,204.18469144018388,56737900,201.84380859375,190.0431615447998,204.06548452771227,203.65211205659793,201.72535689022237,0.0031843595828089377,0.0031793002474826072,48.33616027745679,0.41337247111434294,0.6809127816839213,-0.2675403105695784,0.07003439630645263,,206.79806189561066,202.1918612000925,0.02252476374309263,0.34803098920660497,1.5208688415682263,0.00742264756751412,817601600.0,925149285.0,81416840.0,0.696881627928571,,,,,0,-0.0035972468669493995
2017-03-31,204.41880798339844,205.0864937077872,204.36676866759603,204.55753979783736,73733100,202.03125854492188,190.18274459838867,204.11984198243323,203.70890434747204,201.8309824232881,-0.00232766537084661,-0.002330378595022267,45.50306664434535,0.4109376349611864,0.6269177523393744,-0.215980117378188,0.07036085812818288,,206.6369237132141,202.21016033219607,0.02165486096765873,-0.004277652898876453,1.534042647002926,0.00750441049009302,743868500.0,907720065.0,81004780.0,0.9102314702910125,,,,,0,-0.002290623179834639
2017-04-03,204.0633544921875,204.67034775391,202.8320215237045,204.4709099460856,85546500,202.19726654052735,190.31791648864746,204.1111515993185,203.73515991374728,201.91852642599005,-0.001738849251287089,-0.001740362804461455,47.54330365590509,0.375991685571222,0.576732538985744,-0.20074085341452197,0.0698803511872933,,206.54984940224813,202.18014632529093,0.021381856593026043,-0.27612253372231965,1.5654446387468417,0.007671365800304798,658322000.0,888783095.0,82512530.0,1.036769809385314,,,,,0,4.2023417063052904e-05
2017-04-04,204.19337463378906,204.2800936083573,203.39561034730073,203.7771526650686,56466200,202.37606353759764,190.45703468322753,204.12380129692934,203.7691017448615,202.00773615962922,0.0006371557594215815,0.0006369528618710202,36.730360934182585,0.3546995520678422,0.5323259416021636,-0.17762638953432142,0.06919694779043836,,206.52627156483015,202.1609400440566,0.02136270182562592,-0.13765842965349706,1.4719766553831732,0.007208738569618589,714788200.0,875924620.0,82080655.0,0.6879355433993551,,,,,0,-0.0017839612668254512
2017-04-05,203.58639526367188,205.84962304568137,203.37827764951905,204.86975413896752,108800600,202.51768249511719,190.58743911743164,204.04112344565897,203.75556793144003,202.06964435978776,-0.002972571324636686,-0.0029769981897348062,35.82457256163718,0.28555551421894165,0.48297185612551924,-0.19741634190657759,0.06968524359898579,,206.51948526882768,202.10223714328168,0.021620231540657283,-0.6560337306270029,1.5806648489371895,0.007764098612237891,605987600.0,861534555.0,83612245.0,1.3012519876723798,,,,,0,-0.0031945165421273236
2017-04-06,204.15867614746094,204.67895025249734,203.2828595720796,203.72510777753564,69135800,202.6367300415039,190.71818572998046,204.05920847670544,203.78542779929344,202.15156717499065,0.0028109976752026533,0.0028070542095576362,41.76167239253959,0.27378067741199175,0.4411336203828138,-0.16735294297082204,0.07031442336626866,,206.5015178036003,202.08604017979812,0.02161337288680532,-0.12239024234895649,1.6221634283363155,0.007945601230116959,675123400.0,846067085.0,82534840.0,0.8376559523226798,,,,,-1,-0.012444932611934356
2017-04-07,203.9505615234375,204.6442735716667,203.4649670591141,203.90720203952503,74412300,202.75575958251954,190.84934349060057,204.04249356081806,203.79765992700783,202.22211597296896,-0.0010193768295848615,-0.0010198967475034259,41.84836236322571,0.24483363381023082,0.4018736230682972,-0.1570399892580664,0.06908361726032604,,206.39900959456074,202.0619095948924,0.02123630338136069,-0.25814306430779127,1.6419841574816243,0.008050893045925404,600711100.0,822779415.0,82155870.0,0.9057453837443387,,,,,0,-0.0026784918028469606
2017-04-10,204.07192993164062,204.8696940380048,203.54297606170348,204.08927636892926,67615300,202.88343292236328,190.96953659057618,204.04702223325228,203.8179762236473,202.29465769683847,0.0005950873942024426,0.000594910399913639,61.96136468225746,0.22904600960498556,0.36730810037563494,-0.13826209077064938,0.0690983183968562,,206.27547422321607,202.0605838212175,0.020644223398659105,-0.09119961025738103,1.4871382906641688,0.007287324087944509,668326400.0,800009670.0,82673795.0,0.8178564924955967,,,,,0,-0.0062462717000330015
